Row Labels,Sum of RespDisease,Average of Wealth_Idx_Lb
Chandigarh,1,3.654205607
Delhi,12,3.449750139
Goa,0,3.417293233
Punjab,31,3.32387361
Puducherry,9,3.260707635
Lakshadweep,1,3.238095238
Kerala,60,3.087417888
Haryana,29,3.084246409
Himachal Pradesh,13,2.557321226
Tamil Nadu,35,2.514471618
Dadra & Nagar Haveli And Daman & Diu,5,2.451428571
Uttarakhand,9,2.34277752
Telangana,41,2.297557539
Jammu and Kashmir,17,2.252252252
Maharashtra,45,2.247988413
Andhra Pradesh,26,2.24173181
Andaman and Nicobar Islands,6,2.216981132
Mizoram,53,2.184890656
Karnataka,31,2.155111389
Gujarat,47,2.062865948
Rajasthan,43,2.037765363
Ladakh,6,1.953296703
Sikkim,4,1.887323944
Uttar Pradesh,88,1.692551332
Arunachal Pradesh,25,1.556970083
Manipur,22,1.503077784
Madhya Pradesh,51,1.460469732
Chhattisgarh,19,1.28245614
Nagaland,7,1.281885397
Odisha,66,1.20592451
West Bengal,85,1.177920411
Tripura,27,1.049597855
Bihar,62,0.998882931
Assam,85,0.935649045
Jharkhand,22,0.934666191
Meghalaya,119,0.905066815
Grand Total,1202,1.791318975
