state,Bihar
,
Row Labels,Average of aqi_value
Araria,165.1443914
Arrah,153.5997693
Aurangabad,150.5220501
Begusarai,206.6804124
Bettiah,162.1939163
Bhagalpur,164.6979742
Bihar Sharif,134.8082524
Buxar,152.1456693
Chhapra,176.2456897
Darbhanga,190.0898438
Gaya,126.393017
Hajipur,164.5253924
Katihar,161.8394544
Kishanganj,139.5623656
Manguraha,102.215859
Motihari,139.4235669
Munger,158.8612903
Muzaffarpur,161.4237288
Patna,179.9271111
Purnia,161.5124717
Rajgir,145.8242424
Saharsa,169.8715393
Samastipur,170.8943182
Sasaram,135.0463065
Siwan,181.2298547
Grand Total,157.1581218
