city,state,avg_aqi,unhealthy_pct,vp_severe_pct,Hotspot_Category
Agartala,Tripura,127,48,3.2,Emerging Hotspot
Agra,Uttar Pradesh,84,30.4,0,Emerging Hotspot
Ahmedabad,Gujarat,114,59.3,0,Established Hotspot
Ahmednagar,Maharashtra,122,57.5,0,Established Hotspot
Aizawl,Mizoram,47,7,0,Not Hotspot
Ajmer,Rajasthan,101,41.9,0,Emerging Hotspot
Akola,Maharashtra,94,42.3,0.6,Emerging Hotspot
Alwar,Rajasthan,90,25.6,0,Emerging Hotspot
Amaravati,Andhra Pradesh,69,17.8,0,Not Hotspot
Ambala,Haryana,111,47.2,0.9,Emerging Hotspot
Amravati,Maharashtra,91,41.2,0.1,Emerging Hotspot
Amritsar,Punjab,122,55.3,0.9,Established Hotspot
Anantapur,Andhra Pradesh,67,8.1,0,Not Hotspot
Angul,Odisha,164,71.1,7.1,Established Hotspot
Ankleshwar,Gujarat,109,46,0.1,Emerging Hotspot
Araria,Bihar,165,69.1,11.6,Established Hotspot
Ariyalur,Tamil Nadu,52,5.7,0,Not Hotspot
Arrah,Bihar,154,64.7,10.6,Established Hotspot
Asansol,West Bengal,145,64.1,4.5,Established Hotspot
Aurangabad,Bihar,122,55,3.1,Established Hotspot
Aurangabad,Maharashtra,122,55,3.1,Established Hotspot
Baddi,Himachal Pradesh,160,77.5,5.1,Established Hotspot
Badlapur,Maharashtra,117,56.6,0.6,Established Hotspot
Bagalkot,Karnataka,46,0,0,Not Hotspot
Baghpat,Uttar Pradesh,157,71.5,5.4,Established Hotspot
Bahadurgarh,Haryana,165,68.3,8.5,Established Hotspot
Balasore,Odisha,141,59.2,5,Established Hotspot
Ballabgarh,Haryana,156,65.8,6.1,Established Hotspot
Banswara,Rajasthan,117,59.1,0.4,Established Hotspot
Baran,Rajasthan,114,55.8,0.2,Established Hotspot
Barbil,Odisha,144,72.6,0.8,Established Hotspot
Bareilly,Uttar Pradesh,77,24.6,0,Not Hotspot
Baripada,Odisha,125,56.1,2,Established Hotspot
Barmer,Rajasthan,105,47.4,0.5,Emerging Hotspot
Barrackpore,West Bengal,134,54,3.2,Established Hotspot
Bathinda,Punjab,109,45.1,2.7,Emerging Hotspot
Begusarai,Bihar,207,75.4,24.7,Severe Hotspot
Belapur,Maharashtra,101,51.6,0,Established Hotspot
Belgaum,Karnataka,70,14.6,0,Not Hotspot
Bengaluru,Karnataka,75,12.7,0,Not Hotspot
Bettiah,Bihar,162,67.2,11.9,Established Hotspot
Bhagalpur,Bihar,165,66.2,13.5,Established Hotspot
Bharatpur,Rajasthan,137,65.1,3.6,Established Hotspot
Bhilai,Chhattisgarh,72,17.1,0,Not Hotspot
Bhilwara,Rajasthan,113,49,1,Emerging Hotspot
Bhiwadi,Rajasthan,182,81.5,10.4,Severe Hotspot
Bhiwandi,Maharashtra,108,51.4,0,Established Hotspot
Bhiwani,Haryana,141,61.1,4.8,Established Hotspot
Bhopal,Madhya Pradesh,119,58.3,0.4,Established Hotspot
Bhubaneswar,Odisha,124,47.8,1.9,Emerging Hotspot
Bidar,Karnataka,81,22.5,0,Not Hotspot
Bihar Sharif,Bihar,135,58.4,7.4,Established Hotspot
Bikaner,Rajasthan,157,79.2,4.9,Established Hotspot
Bilaspur,Chhattisgarh,69,11.3,0,Not Hotspot
Bileipada,Odisha,151,78,1.8,Established Hotspot
Boisar,Maharashtra,100,45.6,0,Emerging Hotspot
Brajrajnagar,Odisha,87,29.5,0,Emerging Hotspot
Bulandshahr,Uttar Pradesh,148,71.3,2.7,Established Hotspot
Bundi,Rajasthan,133,71.7,1.2,Established Hotspot
Buxar,Bihar,152,66.3,8.1,Established Hotspot
Byasanagar,Odisha,131,58.5,1,Established Hotspot
Byrnihat,Assam,240,89.2,30,Severe Hotspot
Chamarajanagar,Karnataka,43,0,0,Not Hotspot
Chandigarh,Chandigarh,142,66,4.2,Established Hotspot
Chandrapur,Maharashtra,108,49.7,0.6,Emerging Hotspot
Charkhi Dadri,Haryana,155,69.7,4.8,Established Hotspot
Chengalpattu,Tamil Nadu,82,18.7,0.5,Not Hotspot
Chennai,Tamil Nadu,74,13.3,0,Not Hotspot
Chhal,Chhattisgarh,76,17.4,0,Not Hotspot
Chhapra,Bihar,176,68.4,16.2,Established Hotspot
Chikkaballapur,Karnataka,64,15.3,0,Not Hotspot
Chikkamagaluru,Karnataka,47,0.9,0,Not Hotspot
Chittoor,Andhra Pradesh,74,17.3,0.2,Not Hotspot
Chittorgarh,Rajasthan,129,65.8,1.2,Established Hotspot
Churu,Rajasthan,139,62.2,4.2,Established Hotspot
Coimbatore,Tamil Nadu,70,16.8,0.3,Not Hotspot
Cuddalore,Tamil Nadu,65,16.2,0.1,Not Hotspot
Cuttack,Odisha,128,50.2,3.1,Established Hotspot
Damoh,Madhya Pradesh,59,12.3,0,Not Hotspot
Darbhanga,Bihar,190,63.3,27,Established Hotspot
Dausa,Rajasthan,143,74.7,2.2,Established Hotspot
Davanagere,Karnataka,57,8.5,0,Not Hotspot
Dehradun,Uttarakhand,98,37,0.3,Emerging Hotspot
Delhi,Delhi,206,82.8,21.3,Severe Hotspot
Dewas,Madhya Pradesh,103,50.3,0.5,Established Hotspot
Dhanbad,Jharkhand,173,93.2,4.2,Established Hotspot
