state,Population_2024,Population_2025,Growth_abs_2025,Growth_percentage_2025,Share (%),Area(km2)
Uttar Pradesh,238875000,241265000,"23,90,000",1,17.02,"2,40,928"
Bihar,129205000,131041000,"18,36,000",1.42,9.24,"94,163"
Maharashtra,127684000,128659000,"9,75,000",0.76,9.08,"3,07,713"
West Bengal,99723000,100202000,"4,79,000",0.48,7.07,"88,752"
Madhya Pradesh,87954000,88985000,"10,31,000",1.17,6.28,"3,08,252"
Rajasthan,82188000,83060000,"8,72,000",1.06,5.86,"3,42,239"
Tamil Nadu,77165000,77394000,"2,29,000",0.3,5.46,"1,30,058"
Gujarat,72653000,73513000,"8,60,000",1.18,5.19,"1,96,024"
Karnataka,68256000,68679000,"4,23,000",0.62,4.85,"1,91,791"
Andhra Pradesh,53402000,53586000,"1,84,000",0.34,3.78,"1,62,975"
Odisha,46663000,46953000,"2,90,000",0.62,3.31,"1,55,707"
Jharkhand,40129000,40626000,"4,97,000",1.24,2.87,"79,716"
Telangana,38317000,38499000,"1,82,000",0.47,2.72,"1,12,077"
Assam,36159000,36493000,"3,34,000",0.92,2.57,"78,438"
Kerala,35967000,36111000,"1,44,000",0.4,2.55,"38,863"
Punjab,30992000,31188000,"1,96,000",0.63,2.2,"50,362"
Haryana,30694000,31057000,"3,63,000",1.18,2.19,"44,212"
Chhattisgarh,30638000,30982000,"3,44,000",1.12,2.19,"1,35,192"
Delhi,21884000,22277000,"3,93,000",1.8,1.57,"1,484"
Jammu & Kashmir,13733000,13831000,"98,000",0.71,0.98,"42,241"
Uttarakhand,11795000,11913000,"1,18,000",1,0.84,"53,483"
Himachal Pradesh,7518000,7555000,"37,000",0.49,0.53,"55,673"
Tripura,4194000,4232000,"38,000",0.91,0.3,"10,486"
Meghalaya,3387000,3417000,"30,000",0.89,0.24,"22,429"
Manipur,3260000,3289000,"29,000",0.89,0.23,"22,327"
Nagaland,2258000,2279000,"21,000",0.93,0.16,"16,579"
Puducherry,1695000,1732000,"37,000",2.18,0.12,479
Arunachal Pradesh,1580000,1594000,"14,000",0.89,0.11,"83,743"
Goa,1585000,1593000,"8,000",0.5,0.11,"3,702"
Dadra & Nagar Haveli and Daman & Diu,1387000,1479000,"92,000",6.63,0.1,603
Mizoram,1252000,1264000,"12,000",0.96,0.09,"21,081"
Chandigarh,1247000,1259000,"12,000",0.96,0.09,114
Sikkim,697000,703000,"6,000",0.86,0.05,"7,096"
Andaman and Nicobar Islands,404000,405000,"1,000",0.25,0.03,"8,249"
Ladakh,302000,304000,"2,000",0.66,0.02,"59,146"
Lakshadweep,69000,69000,0,0,0,32
India,1404910000,1417492000,"1,25,82,000",0.9,100,"32,87,263"
