year,month,state,vehicle_class,fuel,No_of_Reg_vehicles
2025,April,Andaman and Nicobar Islands,BUS,DIESEL,2
2025,April,Andaman and Nicobar Islands,GOODS CARRIER,DIESEL,23
2025,April,Andaman and Nicobar Islands,GOODS CARRIER,PETROL,1
2025,April,Andaman and Nicobar Islands,M-CYCLE/SCOOTER,ELECTRIC(BOV),1
2025,April,Andaman and Nicobar Islands,M-CYCLE/SCOOTER,PETROL,387
2025,April,Andaman and Nicobar Islands,M-CYCLE/SCOOTER,PETROL/ETHANOL,83
2025,April,Andaman and Nicobar Islands,M-CYCLE/SCOOTER,PURE EV,2
2025,April,Andaman and Nicobar Islands,MAXI CAB,DIESEL,1
2025,April,Andaman and Nicobar Islands,MOPED,PETROL,3
2025,April,Andaman and Nicobar Islands,MOTOR CAB,DIESEL,1
2025,April,Andaman and Nicobar Islands,MOTOR CAB,PETROL,9
2025,April,Andaman and Nicobar Islands,MOTOR CAB,PETROL/HYBRID,6
2025,April,Andaman and Nicobar Islands,MOTOR CAR,DIESEL,11
2025,April,Andaman and Nicobar Islands,MOTOR CAR,PETROL,123
2025,April,Andaman and Nicobar Islands,MOTOR CAR,PETROL/ETHANOL,22
2025,April,Andaman and Nicobar Islands,MOTOR CAR,PETROL/HYBRID,12
2025,April,Andaman and Nicobar Islands,MOTOR CAR,PURE EV,3
2025,April,Andaman and Nicobar Islands,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,15
2025,April,Andaman and Nicobar Islands,OMNI BUS,DIESEL,1
2025,April,Andaman and Nicobar Islands,THREE WHEELER (GOODS),DIESEL,1
2025,April,Andaman and Nicobar Islands,THREE WHEELER (PASSENGER),PETROL,3
2025,April,Andhra Pradesh,ADAPTED VEHICLE,PETROL,80
2025,April,Andhra Pradesh,ADAPTED VEHICLE,PETROL/ETHANOL,1
2025,April,Andhra Pradesh,ADAPTED VEHICLE,STRONG HYBRID EV,1
2025,April,Andhra Pradesh,AGRICULTURAL TRACTOR,DIESEL,1479
2025,April,Andhra Pradesh,AMBULANCE,DIESEL,37
2025,April,Andhra Pradesh,AMBULANCE,PETROL,16
2025,April,Andhra Pradesh,ARTICULATED VEHICLE,DIESEL,61
2025,April,Andhra Pradesh,BUS,CNG ONLY,1
2025,April,Andhra Pradesh,BUS,DIESEL,122
2025,April,Andhra Pradesh,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,245
2025,April,Andhra Pradesh,CRANE MOUNTED VEHICLE,DIESEL,7
2025,April,Andhra Pradesh,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),16
2025,April,Andhra Pradesh,E-RICKSHAW WITH CART (G),PURE EV,1
2025,April,Andhra Pradesh,E-RICKSHAW(P),ELECTRIC(BOV),3
2025,April,Andhra Pradesh,E-RICKSHAW(P),PURE EV,2
2025,April,Andhra Pradesh,EDUCATIONAL INSTITUTION BUS,DIESEL,49
2025,April,Andhra Pradesh,EXCAVATOR (NT),DIESEL,2
2025,April,Andhra Pradesh,FIRE TENDERS,DIESEL,3
2025,April,Andhra Pradesh,FORK LIFT,DIESEL,7
2025,April,Andhra Pradesh,GOODS CARRIER,CNG ONLY,23
2025,April,Andhra Pradesh,GOODS CARRIER,DIESEL,2257
2025,April,Andhra Pradesh,GOODS CARRIER,ELECTRIC(BOV),5
2025,April,Andhra Pradesh,GOODS CARRIER,PETROL,48
2025,April,Andhra Pradesh,GOODS CARRIER,PETROL/CNG,4
2025,April,Andhra Pradesh,GOODS CARRIER,PURE EV,8
2025,April,Andhra Pradesh,HARVESTER,DIESEL,29
2025,April,Andhra Pradesh,M-CYCLE/SCOOTER,CNG ONLY,109
2025,April,Andhra Pradesh,M-CYCLE/SCOOTER,ELECTRIC(BOV),479
2025,April,Andhra Pradesh,M-CYCLE/SCOOTER,ETHANOL,2
2025,April,Andhra Pradesh,M-CYCLE/SCOOTER,PETROL,47683
2025,April,Andhra Pradesh,M-CYCLE/SCOOTER,PETROL/ETHANOL,3737
2025,April,Andhra Pradesh,M-CYCLE/SCOOTER,PURE EV,3434
